"","City","State","Population","lon","lat","location"
"1","Aachen","Northrhine-Westfalia",241300,6.0838868,50.7753455,"Aachen"
"2","Augsburg","Bavaria",253800,10.89779,48.3705449,"Augsburg"
"3","Bergisch Gladbach","Northrhine-Westfalia",106100,7.1286213,50.9923091,"Bergisch Gladbach"
"4","Berlin","Berlin",3275000,13.404954,52.5200066,"Berlin"
"5","Bielefeld","Northrhine-Westfalia",320900,8.5324708,52.0302285,"Bielefeld"
"6","Bochum","Northrhine-Westfalia",388100,7.2162363,51.4818445,"Bochum"
"7","Bonn","Northrhine-Westfalia",307500,7.0982068,50.73743,"Bonn"
"8","Bottrop","Northrhine-Westfalia",122100,6.9446888,51.529086,"Bottrop"
"9","Braunschweig","Lower Saxony",243700,10.5267696,52.2688736,"Braunschweig"
"10","Bremen","Bremen",527900,8.8016937,53.0792962,"Bremen"
"11","Bremerhaven","Bremen",116800,8.5809424,53.5395845,"Bremerhaven"
"12","Chemnitz","Saxony",255600,12.9213697,50.827845,"Chemnitz"
"13","Cottbus","Brandenburg",105000,14.3328679,51.7563108,"Cottbus"
"14","Darmstadt","Hessen",137800,8.6511929,49.8728253,"Darmstadt"
"15","Dessau","Saxony-Anhalt",81800,12.2423302,51.8308166,"Dessau"
"16","Dortmund","Northrhine-Westfalia",587600,7.4652981,51.5135872,"Dortmund"
"17","Dresden","Saxony",473300,13.7372621,51.0504088,"Dresden"
"18","Duisburg","Northrhine-Westfalia",513400,6.7623293,51.4344079,"Duisburg"
"19","Düren","Northrhine-Westfalia",89600,6.481105,50.8029513,"Düren"
"20","Düsseldorf","Northrhine-Westfalia",568900,6.7734556,51.2277411,"Düsseldorf"
"21","Erfurt","Thuringia",195000,11.0298799,50.9847679,"Erfurt"
"22","Erlangen","Bavaria",100100,11.0119611,49.5896744,"Erlangen"
"23","Essen","Northrhine-Westfalia",588800,7.0115552,51.4556432,"Essen"
"24","Esslingen","Baden-Württemberg",91000,9.3201122,48.7433425,"Esslingen"
"25","Flensburg","Schleswig-Holstein",83800,9.4469964,54.7937431,"Flensburg"
"26","Frankfurt","Hessen",648000,8.6821267,50.1109221,"Frankfurt"
"27","Freiburg","Baden-Württemberg",206300,7.8421043,47.9990077,"Freiburg"
"28","Fürth","Bavaria",111900,10.988667,49.4771169,"Fürth"
"29","Gelsenkirchen","Northrhine-Westfalia",276200,7.0857172,51.517744,"Gelsenkirchen"
"30","Gera","Thuringia",108800,12.0807203,50.8850706,"Gera"
"31","Göttingen","Lower Saxony",127100,9.9158035,51.5412804,"Göttingen"
"32","Gütersloh","Northrhine-Westfalia",97100,8.3857535,51.9032375,"Gütersloh"
"33","Hagen","Northrhine-Westfalia",201700,7.4632841,51.3670777,"Hagen"
"34","Halle","Saxony-Anhalt",237400,11.9688029,51.4969802,"Halle"
"35","Hamburg","Hamburg",1686100,9.9936818,53.5510846,"Hamburg"
"36","Hamm","Northrhine-Westfalia",180300,7.8159816,51.6738583,"Hamm"
"37","Hanau","Hessen",86400,8.9283105,50.1264123,"Hanau"
"38","Hannover","Lower Saxony",516300,9.7320104,52.3758916,"Hannover"
"39","Heidelberg","Baden-Württemberg",139700,8.6724335,49.3987524,"Heidelberg"
"40","Heilbronn","Baden-Württemberg",118500,9.210879,49.1426929,"Heilbronn"
"41","Herne","Northrhine-Westfalia",174200,7.2009147,51.5368948,"Herne"
"42","Hildesheim","Lower Saxony",103700,9.9579652,52.154778,"Hildesheim"
"43","Ingolstadt","Bavaria",118000,11.4257541,48.7665351,"Ingolstadt"
